id,name
1,DX
2,DX Century Club (DXCC)
3,DX Field
4,eAustralia
5,eCanada
6,eCounty
7,eDX
8,eDX100
9,eEcholink50
10,eGrid
11,ePfx300
12,eWAS
13,eZ40
14,Fred Fish Memorial Award (FFMA)
15,Islands on the Air (IOTA)
16,Russian Districts Award (RDA)
17,United States of America Counties (USA-CA)
18,VHF/UHF Century Club Program (VUCC)
19,Worked All Britain (WAB)
20,Worked All Continents (WAC)
21,Worked All Europe (WAE)
22,Worked All Italian Provinces (WAIP)
23,Worked All States (WAS)
24,Worked All Zones (WAZ)
25,Worked ITU Zones (WITUZ)
26,WPX