id,name,mode_description_id,import_only
1,AM,,f
2,ARDOP,,f
3,ATV,,f
4,C4FM,,f
5,CHIP,,f
6,CLO,,f
7,CONTESTI,,f
8,CW,,f
9,DIGITALVOICE,,f
10,DOMINO,,f
11,DSTAR,,f
12,FAX,,f
13,FM,,f
14,FSK441,,f
15,FT8,,f
16,HELL,,f
17,ISCAT,,f
18,JT4,,f
19,JT6M,,f
20,JT9,,f
21,JT44,,f
22,JT65,,f
23,MFSK,,f
24,MSK144,,f
25,MT63,,f
26,OLIVIA,,f
27,OPERA,,f
28,PAC,,f
29,PAX,,f
30,PKT,,f
31,PSK,,f
32,PSK2K,,f
33,Q15,,f
34,QRA64,,f
35,ROS,,f
36,RTTY,,f
37,RTTYM,,f
38,SSB,,f
39,SSTV,,f
40,T10,,f
41,THOR,,f
42,THRB,,f
43,TOR,,f
44,V4,,f
45,VOI,,f
46,WINMOR,,f
47,WSPR,,f
48,AMTORFEC,,t
49,ASCI,,t
50,CHIP64,,t
51,CHIP128,,t
52,DOMINOF,,t
53,FMHELL,,t
54,FSK31,,t
55,GTOR,,t
56,HELL80,,t
57,HFSK,,t
58,JT4A,,t
59,JT4B,,t
60,JT4C,,t
61,JT4D,,t
62,JT4E,,t
63,JT4F,,t
64,JT4G,,t
65,JT65A,,t
66,JT65B,,t
67,JT65C,,t
68,MFSK8,,t
69,MFSK16,,t
70,PAC2,,t
71,PAC3,,t
72,PAX2,,t
73,PCW,,t
74,PSK10,,t
75,PSK31,,t
76,PSK63,,t
77,PSK63F,,t
78,PSK125,,t
79,PSKAM10,,t
80,PSKAM31,,t
81,PSKAM50,,t
82,PSKFEC31,,t
83,PSKHELL,,t
84,QPSK31,,t
85,QPSK63,,t
86,QPSK125,,t
87,THRBX,,t