id,mode_id,name,description
1,43,AMTORFEC,
2,36,ASCI,
3,5,CHIP64,
4,5,CHIP128,
5,10,DOMINOEX,
6,10,DOMINOF,
7,16,FMHELL,
8,31,FSK31,
9,16,FSKHELL,
10,23,FSQCALL,
11,43,GTOR,
12,16,HELL80,
13,16,HFSK,
14,17,ISCAT-A,
15,17,ISCAT-B,
16,18,JT4A,
17,18,JT4B,
18,18,JT4C,
19,18,JT4D,
20,18,JT4E,
21,18,JT4F,
22,18,JT4G,
23,20,JT9-1,
24,20,JT9-2,
25,20,JT9-5,
26,20,JT9-10,
27,20,JT9-30,
28,20,JT9A,
29,20,JT9B,
30,20,JT9C,
31,20,JT9D,
32,20,JT9E,
33,20,JT9E FAST,
34,20,JT9F,
35,20,JT9F FAST,
36,20,JT9G,
37,20,JT9G FAST,
38,20,JT9H,
39,20,JT9H FAST,
40,22,JT65A,
41,22,JT65B,
42,22,JT65B2,
43,22,JT65C,
44,22,JT65C2,
45,38,LSB,
46,23,MFSK4,
47,23,MFSK8,
48,23,MFSK11,
49,23,MFSK16,
50,23,MFSK22,
51,23,MFSK31,
52,23,MFSK32,
53,23,MFSK64,
54,23,MFSK128,
55,26,OLIVIA 4/125,
56,26,OLIVIA 4/250,
57,26,OLIVIA 8/250,
58,26,OLIVIA 8/500,
59,26,OLIVIA 16/500,
60,26,OLIVIA 16/1000,
61,26,OLIVIA 32/1000,
62,27,OPERA-BEACON,
63,27,OPERA-QSO,
64,28,PAC2,
65,28,PAC3,
66,28,PAC4,
67,29,PAX2,
68,8,PCW,
69,31,PSK10,
70,31,PSK31,
71,31,PSK63,
72,31,PSK63F,
73,31,PSK125,
74,31,PSK250,
75,31,PSK500,
76,31,PSK1000,
77,31,PSKAM10,
78,31,PSKAM31,
79,31,PSKAM50,
80,31,PSKFEC31,
81,16,PSKHELL,
82,31,QPSK31,
83,31,QPSK63,
84,31,QPSK125,
85,31,QPSK250,
86,31,QPSK500,
87,34,QRA64A,
88,34,QRA64B,
89,34,QRA64C,
90,34,QRA64D,
91,34,QRA64E,
92,35,ROS-EME,
93,35,ROS-HF,
94,35,ROS-MF,
95,31,SIM31,
96,42,THRBX,
97,38,USB,
98,23,JS8,